bookmark_id,bookmark_name,include
114,138.com,yes
103,18Bet,yes
105,1xBet,yes
47,Betdaq,yes
1,Betfair,yes
109,Betfair SP,yes
117,Bethard,yes
106,Betkurus,yes
127,BetOlimp,yes
95,Betrally,yes
112,Bets10,yes
65,BetVictor,yes
119,Betway,yes
126,ComeOn,yes
91,Coral,yes
83,Fortuna.cz,yes
22,Interwetten,yes
123,JojoBet,yes
93,Matchbook,yes
97,Netbet,yes
129,Novibet,yes
130,Oddsring,yes
2,PinnacleSports,yes
120,Planetwin365,yes
128,READYtoBET,yes
124,SekaBet,yes
100,SkyBet,yes
98,Smart Live,yes
113,SportingBet,yes
125,Sportium,yes
111,Supermatch,yes
110,TonyBet,yes
118,VBet,yes
108,VitalBet,yes
121,Vonbet,yes
122,Vulkanbet,yes
14,William Hill,yes
107,Winlinebet,yes
96,Winner,yes
30,10Bet,no
42,188Bet,no
82,1Bet,no
29,5Dimes,no
44,888sport,no
5,Bet City,no
46,Bet US,no
63,Bet3000,no
43,bet365,no
8,BetAtHome,no
13,Betclic,no
38,BetDSI,no
32,Betfred,no
21,Betgun,no
60,BetOnline,no
50,BetRedKings,no
27,Betsafe,no
51,Betsson,no
7,BWin,no
77,Dafabet,no
54,DOXXbet,no
73,Favbet,no
71,Fonbet,no
52,GoldBet,no
18,Intertops,no
57,Jetbull,no
31,Ladbrokes,no
39,LeonBets,no
85,M88,no
17,Marathon,no
25,Mybet,no
24,Noxwin,no
4,PariMatch,no
88,Sbobet,no
86,Smarkets,no
35,Sportbet,no
64,Tipico,no
81,Titanbet,no
80,Topbet,no
6,Toto,no
16,Unibet,no
9,Vivaro,no
55,youwin,no
